Date,Open,High,Low,Close
17-January-2020,41929.02,42063.93,41850.29,41945.37,
20-January-2020,42263.00,42273.87,41503.37,41528.91,
21-January-2020,41487.57,41532.59,41294.30,41323.81,
22-January-2020,41467.13,41532.29,41059.04,41115.38,
23-January-2020,41191.50,41413.96,41098.91,41386.40,
24-January-2020,41377.04,41697.03,41275.60,41613.19,
27-January-2020,41510.68,41516.27,41122.48,41155.12,
28-January-2020,41299.68,41333.25,40869.75,40966.86,
29-January-2020,41131.57,41334.86,41108.19,41198.66,
30-January-2020,41380.14,41380.14,40829.91,40913.82,
31-January-2020,41146.56,41154.49,40671.01,40723.49,
1-February-2020,40753.18,40905.78,39631.24,39735.53,
3-February-2020,39701.02,40014.90,39563.07,39872.31,
4-February-2020,40178.74,40818.94,40117.46,40789.38,
5-February-2020,40921.71,41177.00,40703.32,41142.66,
6-February-2020,41209.13,41405.43,41113.11,41306.03,
7-February-2020,41394.41,41394.41,41073.36,41141.85,
10-February-2020,41166.72,41172.06,40798.98,40979.62,
11-February-2020,41183.39,41444.34,41179.14,41216.14,
12-February-2020,41330.85,41671.86,41330.85,41565.90,
13-February-2020,41707.21,41709.30,41338.31,41459.79,
