Date,SMB %,HML %,WML %,Rm %,Rf %,Rm-Rf %
19940311,2.07574004,-0.889578,1.19309252,-1.5899151,0.03015884,-1.62007394
19940315,-0.42751045,-0.50501445,0.14236287,-0.30107568,0.02878354,-0.32985922
19940316,-1.29932897,1.58169065,1.05568746,-0.33199978,0.02878354,-0.36078332
19940317,-1.81702339,1.28610705,-2.32924954,-0.39384961,0.02878354,-0.42263315
19940318,0.12424456,0.60408155,-0.45433459,0.60732832,0.02878354,0.57854478
19940321,-0.90373673,0.6433817,0.8896933,0.22860467,0.02736616,0.20123851
19940322,0.22212297,1.00124779,-0.48579938,-2.08948012,0.02736616,-2.11684628
19940323,-0.0153625,0.08633291,0.99069732,-1.19247405,0.02736616,-1.21984021
19940324,-0.44510153,0.08158545,-0.93260712,-0.70217934,0.02736616,-0.7295455
19940325,0.43597369,-0.61199484,-0.0786926,-0.22096583,0.02736616,-0.24833199
19940328,-0.33494717,-0.22350261,0.67838088,0.43642113,0.02829921,0.40812192
19940329,-1.87458103,-0.11202378,-0.88553549,1.1317635,0.02829921,1.10346429
19940330,1.35334539,-0.66864556,0.16022662,0.53883616,0.02829921,0.51053695
19940331,0.94654232,-0.84659951,1.25342486,0.26126385,0.02829921,0.23296464
19940404,0.77836912,-1.07994021,0.43144349,1.53963267,0.02878354,1.51084913
19940405,0.13626382,-0.30937669,0.11770305,0.45596289,0.02878354,0.42717935
19940406,-0.6810696,0.14837567,-0.44429037,1.02437847,0.02878354,0.99559493
19940407,-0.8036872,-0.19856071,-1.23631358,0.57218364,0.02878354,0.5434001
19940408,0.1466303,0.55945059,-0.80571845,1.61492296,0.02878354,1.58613942
19940412,0.54444811,-0.00488305,0.19822412,0.62199722,0.02829921,0.59369801
19940413,0.46978979,-0.6692329,1.4513356,0.4516072,0.02829921,0.42330799
19940415,0.75499899,-0.83039707,0.60745431,-0.66449209,0.02829921,-0.6927913
19940418,-0.09866613,-0.37227106,0.17444359,-1.27834286,0.02800087,-1.30634373
19940419,0.3561449,-1.29789342,1.4002868,-1.43380571,0.02800087,-1.46180658
19940421,0.38724062,0.47123996,-0.10017602,-1.24859708,0.02800087,-1.27659795
19940422,-0.41746776,-0.36233445,-0.29604935,0.3576926,0.02800087,0.32969173
19940425,0.55908849,-0.76057504,-1.13338381,0.19007512,0.02800087,0.16207425
19940426,-0.58829293,0.76244225,0.87866225,-0.64907168,0.02800087,-0.67707255
19940427,0.28325567,-1.43115685,0.41108642,-1.32905332,0.02800087,-1.35705419
19940428,-1.36982099,0.94887091,-1.0892803,-2.18048021,0.02800087,-2.20848108
19940429,0.49950576,-0.62717262,-0.71194623,1.09059745,0.02800087,1.06259658
19940502,0.20008843,1.50169818,-0.69875274,-0.0547269,0.02800087,-0.08272777
19940503,1.39449941,0.09580976,-0.69004452,-0.55391007,0.02800087,-0.58191094
19940504,-0.08474324,-0.74854625,-0.08065279,-1.59725555,0.02800087,-1.62525642
19940505,-1.29691275,2.9499852,-0.77033833,-0.60919915,0.02800087,-0.63720002
19940506,-0.33705784,0.38148009,0.73998655,2.98280439,0.02800087,2.95480352
