Date,SMB,HML,WML,Ret,Ret_rf,Ret_ex
20190701,0.20699761,-0.48884424,-0.5747111,0.37967233,0.0234235,0.35624883
20190702,-0.71956771,-0.42265293,1.01825317,0.30591607,0.0234235,0.28249257
20190703,-0.18086231,1.08238679,-0.54388655,0.16761985,0.0234235,0.14419635
20190704,0.14292629,0.53987925,-0.30136751,0.25676185,0.02323478,0.23352707
20190705,0.34639172,0.10324856,0.59075799,-1.45135061,0.02323478,-1.47458539
20190708,0.83173601,-1.93783787,0.88492183,-2.23941311,0.02323478,-2.26264789
20190709,0.1383866,-0.04339387,0.31263055,0.11697772,0.02323478,0.09374294
20190710,0.08888519,-0.02174138,0.2143415,-0.71115945,0.02323478,-0.73439423
20190711,-0.59015199,0.00130051,-1.04836032,0.69188654,0.02278151,0.66910503
20190712,0.11047339,0.19697316,-0.02701109,-0.04569702,0.02278151,-0.06847853
20190715,-0.45883874,-1.02370523,0.39397822,0.01192595,0.02278151,-0.01085556
20190716,-1.05986551,0.52881444,-0.10643752,0.62332767,0.02278151,0.60054616
20190717,0.13861708,-0.50101356,0.22935551,0.08326699,0.02278151,0.06048548
20190718,0.46219347,-1.20023135,1.12651176,-1.10455188,0.02232772,-1.1268796
20190719,-0.36163824,-0.04178267,0.86579448,-1.39950164,0.02232772,-1.42182936
20190722,-1.58491197,0.74602044,-0.86595022,-0.40155434,0.02232772,-0.42388206
20190723,1.01058278,-1.15529931,0.25823048,-0.12473662,0.02232772,-0.14706434
20190724,0.59026734,-1.04641583,0.7784452,-0.87263852,0.02232772,-0.89496624
20190725,-0.2420862,-0.63597497,0.30956222,0.03031803,0.02232772,0.00799031
20190726,0.05627184,0.09269476,-0.8788696,0.37392178,0.02232772,0.35159406
20190729,-0.02335983,-0.23332778,2.70767221,-0.94872186,0.02232772,-0.97104958
20190730,-0.57929541,-1.78033246,2.14625106,-1.19495483,0.02232772,-1.21728255
20190731,-1.32513174,0.13032018,-0.00804436,0.53226325,0.02232772,0.50993553
20190801,0.14708495,-0.21191007,0.23888008,-1.11089791,0.02198704,-1.13288495
20190802,-0.0946235,-0.42584322,0.8081466,0.10822591,0.02198704,0.08623887
